cascao_id,pac_id,pac_estado
68241,65401,programa-activo
68249,65409,programa-activo
68552,65712,programa-activo
68636,65796,programa-activo
68856,66015,programa-activo
68927,66086,programa-activo
69624,66782,programa-activo
69663,66821,programa-activo
69733,66890,programa-activo
69776,66933,programa-activo
69830,66987,programa-activo
69889,67046,programa-activo
69923,67080,caso-nuevo
69980,67137,programa-activo
70015,67172,programa-activo
70817,67974,programa-activo
70860,68017,programa-activo
70931,68088,programa-activo
71063,68220,caso-nuevo
71125,68282,programa-activo
71159,68316,programa-activo
71189,68346,programa-activo
71257,68414,programa-completo
71478,68632,programa-activo
71515,68669,programa-activo
71527,68681,programa-activo
71539,68693,programa-activo
71564,68718,programa-activo
71579,68733,programa-activo
71869,69023,programa-activo
71920,69074,programa-activo
72000,69154,rechazado-mmgyd
72103,69257,programa-activo
72217,69370,programa-activo
72363,69516,programa-activo
72442,69595,programa-activo
72502,69655,programa-completo
73671,70824,programa-activo
73698,70851,programa-activo
73768,70921,programa-completo
75291,72444,programa-activo
75324,72477,programa-activo
75345,72498,programa-activo
75362,72515,programa-activo
75385,72538,programa-activo
75392,72545,programa-completo
75405,72558,programa-activo
75415,72568,programa-activo
75429,72582,programa-activo
75436,72589,programa-activo
75498,72651,programa-activo
75509,72662,programa-activo
75696,72849,programa-activo
75935,73088,programa-activo
76550,73702,programa-activo
76559,73711,programa-activo
76571,73723,programa-activo
76575,73727,programa-activo
76585,73737,programa-activo
76596,73748,programa-activo
76619,73771,programa-completo
77535,74687,programa-activo
77591,74743,programa-activo
77638,74790,programa-activo
77679,74831,programa-activo
77724,74876,programa-activo
77745,74897,programa-activo
77761,74913,programa-activo
77776,74928,programa-activo
78812,75964,programa-activo
78875,76027,programa-activo
78936,76088,programa-activo
78953,76105,programa-activo
78961,76113,programa-completo
78966,76118,programa-activo
78974,76126,programa-activo
78984,76136,programa-activo
80127,77279,programa-activo
80147,77299,programa-activo
80175,77327,programa-activo
80226,77378,programa-activo
80260,77412,programa-activo
80286,77438,programa-activo
80323,77475,caso-nuevo
80348,77500,programa-activo
80365,77517,programa-activo
82313,79465,programa-activo
82346,79498,programa-activo
82363,79515,programa-activo
82391,79543,programa-activo
82401,79553,programa-activo
82424,79576,programa-activo
82460,79612,programa-activo
82486,79638,programa-activo
83318,80470,programa-activo
83369,80521,programa-activo
83407,80559,programa-activo
83439,80591,programa-activo
83453,80605,programa-activo
83465,80617,programa-activo
83510,80662,programa-activo
83515,80667,programa-completo
85205,82355,programa-activo
85222,82372,programa-activo
85418,82567,programa-activo
85443,82592,programa-activo
85481,82630,programa-activo
86351,83499,programa-activo
86361,83509,programa-activo
86376,83524,programa-activo
86394,83542,programa-activo
86418,83566,programa-completo
86869,84017,programa-activo
94262,90711,programa-activo
94274,90723,programa-activo
94284,90733,programa-activo
94296,90745,programa-activo
94997,91446,programa-activo
95031,91480,programa-activo
95114,91563,programa-activo
95123,91572,caso-nuevo
101248,97666,programa-activo
101337,97755,programa-activo
101364,97782,programa-activo
101385,97803,programa-activo
101399,97817,programa-activo
101436,97854,programa-activo
101450,97868,programa-activo
102517,98935,programa-activo
102555,98973,programa-activo
102623,99041,programa-activo
102695,99113,programa-activo
102762,99180,programa-activo
104466,100883,programa-activo
104509,100926,programa-activo
104523,100940,programa-activo
104534,100951,programa-activo
104554,100971,programa-activo
104575,100992,programa-activo
104607,101024,programa-activo
104621,101038,programa-activo
104632,101049,programa-activo
105030,101447,programa-activo
105059,101476,programa-activo
106544,102961,programa-activo
106567,102984,programa-activo
106577,102994,programa-activo
106587,103004,programa-activo
107202,103574,programa-activo
107235,103607,programa-activo
111325,107691,programa-activo
111387,107753,programa-activo
111401,107767,programa-activo
111415,107781,programa-activo
111434,107800,programa-activo
112085,108451,programa-activo
112097,108463,programa-activo
112106,108472,programa-activo
112113,108479,programa-activo
112119,108485,programa-activo
112135,108501,programa-activo
112149,108515,programa-activo
112169,108535,programa-activo
112176,108542,programa-activo
112180,108546,programa-activo
112197,108563,programa-activo
112201,108567,programa-activo
112205,108571,programa-activo
113177,109543,programa-activo
113200,109566,programa-activo
113221,109587,programa-activo
113246,109612,programa-activo
113266,109632,programa-activo
113296,109662,programa-activo
113315,109681,programa-activo
113326,109692,programa-activo
113338,109704,programa-activo
113366,109732,programa-activo
113372,109738,programa-activo
113915,110281,programa-activo
113957,110323,programa-activo
113998,110363,programa-activo
114016,110381,programa-activo
115037,111401,programa-activo
115052,111416,programa-activo
115061,111425,programa-activo
115067,111431,programa-activo
115077,111441,programa-activo
115096,111460,programa-activo
115100,111464,programa-activo
115108,111472,programa-activo
115889,112253,programa-activo
115910,112274,programa-activo
115970,112334,programa-activo
115980,112344,programa-activo
115993,112357,programa-activo
116009,112373,rechazado-mmgyd
116033,112397,programa-activo
116638,113002,programa-activo
116650,113014,programa-activo
116688,113052,programa-activo
119235,115597,programa-activo
121328,117689,programa-activo
121356,117717,programa-completo
121372,117733,programa-activo
121384,117744,programa-activo
121398,117758,programa-completo
121404,117764,programa-activo
121433,117793,programa-activo
121437,117797,programa-activo
121912,118272,programa-completo
121962,118321,programa-activo
122023,118382,programa-activo
122073,118432,programa-activo
122173,118532,programa-activo
122231,118590,caso-nuevo
122274,118633,programa-activo
122274,118633,programa-activo
122274,118633,programa-activo
122322,118681,programa-activo
122361,118720,caso-nuevo
122640,118997,programa-activo
122676,119033,programa-activo
122732,119089,programa-activo
122785,119142,caso-nuevo
122837,119194,programa-activo
122948,119305,programa-activo
123031,119388,programa-activo
123544,119901,caso-nuevo
123591,119948,programa-activo
123625,119982,programa-activo
123699,120056,programa-activo
123875,120232,programa-activo
123912,120269,programa-activo
123940,120297,programa-activo
124086,120443,programa-activo
124105,120462,caso-nuevo
124130,120487,programa-activo
124148,120505,programa-activo
124162,120519,programa-activo
124188,120545,programa-activo
125280,121637,programa-activo
125316,121673,programa-activo
125397,121754,programa-activo
125447,121804,programa-activo
125479,121836,programa-activo
125527,121884,programa-activo
125631,121988,programa-activo
125666,122023,programa-activo
125998,122353,programa-activo
126016,122371,programa-activo
126060,122415,programa-activo
126207,122562,programa-activo
126293,122648,programa-activo
126356,122711,programa-activo
126386,122741,programa-activo
126437,122792,programa-activo
126551,122906,caso-nuevo
126556,122911,caso-nuevo
126568,122923,caso-nuevo
126573,122928,programa-activo
128572,124924,caso-nuevo
128618,124970,programa-activo
131594,127937,programa-activo
131643,127986,programa-activo
131682,128025,rechazado-mmgyd
131706,128049,programa-activo
131736,128079,programa-activo
133133,129474,programa-activo
133150,129491,programa-activo
133184,129525,programa-activo
133234,129575,programa-activo
133455,129795,programa-activo
133998,130338,programa-activo
134030,130370,programa-activo
134055,130395,programa-activo
135336,131676,programa-activo
135353,131692,caso-nuevo
135361,131700,programa-activo
135372,131711,caso-nuevo
135381,131720,programa-activo
135394,131733,programa-activo
135419,131758,caso-nuevo
135425,131764,programa-activo
135436,131775,programa-activo
135441,131780,programa-activo
135457,131796,programa-completo
135470,131809,programa-activo
135485,131824,programa-activo
135491,131830,caso-nuevo
135502,131841,programa-activo
136484,132823,programa-activo
136505,132844,programa-activo
136528,132867,programa-activo
136567,132906,programa-activo
136610,132949,programa-activo
136777,133116,programa-activo
136806,133145,programa-activo
136831,133170,programa-activo
136851,133190,programa-activo
137216,133555,programa-activo
137251,133590,programa-activo
137326,133665,programa-activo
137396,133735,programa-activo
137441,133780,programa-activo
137494,133833,programa-activo
137535,133874,programa-activo
137564,133903,programa-activo
137748,134087,programa-activo
137757,134096,programa-activo
137768,134107,programa-activo
137776,134115,programa-activo
137783,134122,programa-activo
137794,134133,programa-completo
137810,134149,programa-activo
137815,134154,programa-activo
137935,134274,programa-activo
138786,135125,programa-activo
139172,135511,programa-activo
139192,135531,programa-activo
139212,135551,programa-activo
139795,136134,programa-activo
139815,136154,programa-activo
139824,136163,programa-activo
139837,136176,programa-activo
139854,136193,programa-activo
139868,136207,programa-activo
139892,136231,programa-activo
139899,136238,programa-activo
139919,136258,programa-activo
139952,136291,programa-activo
140925,137264,programa-activo
141016,137355,programa-activo
141049,137388,programa-activo
141074,137413,programa-activo
141993,138330,programa-activo
142015,138352,programa-activo
142029,138366,programa-completo
142051,138388,programa-activo
142068,138405,programa-activo
142084,138421,programa-activo
142362,138698,programa-activo
142400,138736,programa-activo
142424,138760,programa-activo
142437,138773,programa-activo
142568,138904,programa-activo
142583,138919,programa-activo
142595,138931,programa-activo
142603,138939,programa-activo
142613,138949,programa-activo
142746,139082,programa-activo
142783,139119,programa-activo
142813,139149,programa-activo
142865,139201,programa-activo
144239,140569,programa-activo
144262,140592,programa-activo
144280,140610,programa-activo
144322,140652,programa-activo
144365,140695,programa-activo
144423,140753,programa-activo
144700,141030,programa-activo
144735,141065,programa-activo
144874,141201,programa-activo
144886,141213,programa-activo
144896,141223,programa-activo
144908,141233,caso-nuevo
144915,141240,programa-completo
144929,141254,programa-activo
144945,141270,rechazado-mmgyd
144975,141300,programa-activo
144986,141311,programa-activo
144992,141317,programa-activo
145004,141329,programa-activo
145130,141455,programa-completo
145223,141548,programa-completo
145472,141788,programa-activo
145512,141827,programa-activo
145544,141859,programa-activo
145932,142247,programa-completo
145981,142296,caso-nuevo
146074,142389,programa-activo
146111,142426,programa-activo
146277,142592,programa-activo
146356,142671,programa-activo
146465,142780,programa-activo
146474,142789,programa-activo
146480,142795,rechazado-mmgyd
146492,142807,programa-activo
146507,142822,programa-activo
146524,142839,programa-activo
146536,142851,programa-activo
146545,142860,programa-activo
146557,142872,programa-activo
146724,143025,programa-activo
146784,143085,programa-activo
146983,143284,programa-activo
147187,143488,caso-nuevo
147189,143490,caso-nuevo
147794,144094,programa-activo
147831,144131,programa-activo
148633,144926,programa-activo
149322,145602,programa-activo
149348,145628,programa-activo
149387,145667,programa-activo
149434,145714,programa-completo
149657,145932,programa-activo
149690,145965,programa-activo
149725,146000,programa-activo
150393,146667,programa-completo
150416,146690,programa-activo
150534,146807,programa-activo
150585,146851,rechazado-mmgyd
150697,146963,programa-activo
150764,147030,programa-activo
150832,147098,programa-activo
150864,147130,programa-activo
152079,148309,programa-activo
152099,148329,programa-activo
152121,148351,programa-activo
